Name,New or Expansion,Component,Location,Country,Investment (million),Currency,Investment (million nominal USD),Investment (million real 2024 USD),Announcement Year,Commissioning Year,Status
Vestas Taranto Factory,Expansion,Blades,Taranto,Italy,50,EUR,53,51,2022,2023,Completed
Vestas Blades Factory Szczecin,New,Blades,Szczecin,Poland,-,-,,,2024,2026,Under construction
Siemens Gamesa Aalborg Expansion,Expansion,Blades,Aalborg,Denmark,-,-,,,2024,2026,Under construction
"Siemens Gamesa Blades Virginia, USA",New,Blades,"Portsmouth Marine Terminal, Virginia",United States,200,USD,200,215,2021,-,Cancelled
Vestas Nacelles Factory Szczecin,New,Nacelles,Szczecin,Poland,325,EUR,352,352,2024,2025,Under construction
ZF Lommel serial production,Expansion,Drivetrains,Lommel,Belgium,-,-,,,2024,2024,Completed
Windar Renovables XXL offshore tower factory,New,Towers,Szczecin,Poland,100,EUR,108,108,2024,2026,Under construction
Baltic Towers new factory,New,Towers,Gdansk,Poland,200,EUR,216,210,2023,2025,Under construction
SeAH monopiles plant,New,Foundations,Teesside,UK,400,EUR,420,405,2022,2026,Under construction
Titan Wind factory in Northern Germany,New,Foundations,Cuxhaven,Germany,300,EUR,325,325,2024,2025,Under construction
Windar Renovables Monopiles Avilés,New,Foundations,Avilés,Spain,-,-,,,2024,2027,Under construction
Haizea Port of Bilbao,Expansion,Foundations,Bilbao,Spain,150,EUR,162,162,2024,2029,Under construction
Sif's Rotterdam facility,Expansion,Foundations,Rotterdam,Netherlands,328,EUR,355,345,2023,2024,Completed
NKT High voltage,New,Cables,Karlskrona,Sweden,750,EUR,811,789,2023,2027,Under construction
JDR Cables Northumberland,New,Cables,Northumberland,United Kingdom,150,EUR,158,152,2022,2024,Completed
LS Eco Advanced Cables new factory,New,Cables,Port of Tyne,United Kingdom,1100,EUR,1190,1190,2024,2027,Pre-Final Investment Decision
Sumimoto Electric cable factory,New,Cables,Port of Nigg,United Kingdom,410,EUR,444,444,2024,2026,Under construction
TKF Cable Factory,New,Cables,Eemshaven,Netherlands,-,-,,,2024,2024,Under construction
XLCC Cable Factory in Hunterston,New,Cables,"Hunterston, Scotland",United Kingdom,72,EUR,78,78,2024,2026,Pre-Final Investment Decision
Hellenic Cables Corinth,Expansion,Cables,Corinth,Greece,80,EUR,87,84,2023,2025,Under construction
Prysmian Pikkala factory expansion,Expansion,Cables,Pikkala,Finland,120,EUR,130,126,2023,2026,Under construction
Prysmian Naples factory expansion,Expansion,Cables,Naples,Italy,80,EUR,87,84,2023,2025,Under construction
Prysmian Gron factory expansion,Expansion,Cables,Gron,France,250,EUR,270,263,2023,2025,Under construction
Nexans Halden factory expansion,Expansion,Cables,Halden,Norway,-,-,,,2024,2024,Under construction
Nexans Charleroi factory,Expansion,Cables,Charlerpi,Belgium,90,EUR,97,97,2024,2026,Under construction
Siemens Gamesa Blades Expansion,Expansion,Blades,Le Havre,France,200,EUR,216,216,2024,2026,Under construction
Siemens Gamesa Blades UK,New,Blades,Hull,United Kingdom,310,GBP,474,566,2015,2016,Completed
Siemens Gamesa Blades UK,Expansion,Blades,Hull,United Kingdom,186,GBP,256,275,2021,2023,Completed
"Siemens Gamesa Nacelles New York, USA",New,Nacelles,New York,United States,500,USD,500,487,2023,-,Cancelled
