Component,Blades,Blades,Nacelles,Nacelles,Towers,Towers,Monopiles,Array Cables,Array Cables,Export Cables,Export Cables
Import Country,Canada,Denmark,France,Germany,Portugal,Denmark,Germany,Greece,United Kingdom,Italy,Finland
Import,1,1,1,1,1,1,1,1,1,1,1
US Average,1.29,0.83,0.94,0.97,2.35,0.83,0.97,2.54,1.39,1.34,1.07
GL Average,1.29,0.83,0.95,0.97,2.35,0.83,0.97,2.54,1.40,1.34,1.08
MN,1.39,0.89,1.02,1.04,2.53,0.89,1.04,2.73,1.50,1.44,1.16
WI,1.26,0.81,0.92,0.94,2.29,0.81,0.94,2.48,1.36,1.31,1.05
IL,1.23,0.79,0.91,0.93,2.25,0.79,0.93,2.43,1.34,1.28,1.03
IN,1.24,0.80,0.91,0.93,2.26,0.80,0.93,2.44,1.34,1.29,1.03
MI,1.32,0.85,0.97,0.99,2.41,0.85,0.99,2.61,1.43,1.38,1.11
OH,1.29,0.83,0.95,0.97,2.35,0.83,0.97,2.54,1.40,1.34,1.08
PA,1.31,0.84,0.96,0.98,2.39,0.84,0.98,2.58,1.42,1.36,1.09
NY,1.28,0.82,0.94,0.96,2.34,0.82,0.96,2.53,1.39,1.33,1.07
