Inputs,Technical Life = 16yr,Technical Life = 17yr,Technical Life = 18yr,Technical Life = 19yr,Technical Life = 20yr
Facility Technical Life (Yr),16,17,18,19,20
Loan Tenor (Yr),16,17,18,19,20
IRR (%),-8%,0%,4%,6%,8%
Operating Margin (%),20.37%,20.37%,20.37%,20.37%,20.37%
LPF Cell Price ($/kWh),107.1319682,107.1319682,107.1319682,107.1319682,107.1319682
Operating Margin ($/kWh),18.13196817,18.13196817,18.13196817,18.13196817,18.13196817
Materials ($/kWh),45,45,45,45,45
Labor ($/kWh),15,15,15,15,15
Overhead ($/kWh),22.5,22.5,22.5,22.5,22.5
OpEx ($/kWh),6.5,6.5,6.5,6.5,6.5
Operating Margin check,0,0,0,0,0
