component costs,"Array Cables Europe 
(Factory amortization over 
16,500 km of array cable sold)","Array Cables US 
(Factory amortization over 
16,500 km of array cable sold)","Array Cables US 
(Factory amortization over 
5,500 km of array cable sold)","Array Cables US 
(Factory amortization over 
2,750 km of array cable sold)","Array Cables US 
(Factory amortization over 
1,650 km of array cable sold)"
Other,47542.80279,47542.80279,47542.80279,47542.80279,47542.80279
Labor,160456.9594,160456.9594,160456.9594,160456.9594,160456.9594
Raw materials,386285.2727,386285.2727,386285.2727,386285.2727,386285.2727
Factory amortization,30734.72825,70734.24279,101038.974,172203.2628,275547.6818
Tariffs,93752.96447,23177.11636,23177.11636,23177.11636,23177.11636
Transportation,24980.23687,9652.542535,9652.542535,9652.542535,9652.542535
