component costs,"Blades Europe 
(Factory amortization over 
5,625 blades sold)","Blades US 
(Factory amortization over 
5,625 blades sold)","Blades US 
(Factory amortization over 
2,250 blades sold)","Blades US 
(Factory amortization over 
1,125 blades sold)","Blades US 
(Factory amortization over 
675 blades sold)"
Other,710073.0897,710073.0897,710073.0897,710073.0897,710073.0897
Labor,2343241.196,2343241.196,2343241.196,2343241.196,2343241.196
Raw materials,2863961.462,2863961.462,2863961.462,2863961.462,2863961.462
Factory amortization,316839.9516,987833.5239,1444687.938,2639656.293,4281690.819
Tariffs,935117.3547,214797.1096,214797.1096,214797.1096,214797.1096
Transportation,864957.3282,184145.7051,184145.7051,184145.7051,184145.7051
