component costs,"Export Cables Europe 
(Factory amortization over 
7,500 km of export cable sold)","Export Cables US 
(Factory amortization over 
7,500 km of export cable sold)","Export Cables US 
(Factory amortization over 
2,500 km of export cable sold)","Export Cables US 
(Factory amortization over 
1,250 km of export cable sold)","Export Cables US 
(Factory amortization over 
750 km of export cable sold)"
Other,100495.9553,100495.9553,100495.9553,100495.9553,100495.9553
Labor,339173.849,339173.849,339173.849,339173.849,339173.849
Raw materials,816529.6365,816529.6365,816529.6365,816529.6365,816529.6365
Factory amortization,82088.78902,278269.5775,409638.3156,720499.8679,1174142.922
Tariffs,200743.2345,48991.77819,48991.77819,48991.77819,48991.77819
Transportation,61711.77014,36852.20276,36852.20276,36852.20276,36852.20276
