component costs,"Nacelles Europe 
(Factory amortization over 
2,500 nacelles sold)","Nacelles US 
(Factory amortization over 
2,500 nacelles sold)","Nacelles US 
(Factory amortization over 
1,000 nacelles sold)","Nacelles US 
(Factory amortization over 
500 nacelles sold)","Nacelles US 
(Factory amortization over 
300 nacelles sold)"
Other,1728260.725,1728260.725,1728260.725,1728260.725,1728260.725
Labor,3312499.723,3312499.723,3312499.723,3312499.723,3312499.723
Raw materials,9361412.26,11093273.53,11093273.53,11093273.53,11093273.53
Factory amortization,559704.9696,763113.4341,1105851.376,1658895.616,2464619.492
Tariffs,2244281.652,1497591.926,1497591.926,1497591.926,1497591.926
Transportation,297480.9628,69013.65891,69013.65891,69013.65891,69013.65891
