component costs,"Towers Europe 
(Factory amortization over 
2,500 towers sold)","Towers US 
(Factory amortization over 
2,500 towers sold)","Towers US 
(Factory amortization over 
1,000 towers sold)","Towers US 
(Factory amortization over 
500 towers sold)","Towers US 
(Factory amortization over 
300 towers sold)"
Other,392336.351,784672.702,784672.702,784672.702,784672.702
Labor,695505.3495,695505.3495,695505.3495,695505.3495,695505.3495
Raw materials,2478852.4,2875468.784,2875468.784,2875468.784,2875468.784
Factory amortization,173775.3191,541325.6549,776244.0118,1405518.684,2257964.877
Tariffs,561070.4129,43132.03175,43132.03175,43132.03175,43132.03175
Transportation,451098.914,105875.4136,105875.4136,105875.4136,105875.4136
